ts,100100024_pressure,100100024_flow,100100020_pressure,100100020_flow,100100017_pressure,100100017_flow,79_pressure,79_flow,12167_pressure,12167_flow,100004_pressure,100004_flow,1002196_pressure,1002196_flow,100100028_pressure,100100028_flow,100100006_pressure,100100019_pressure,100100019_flow,100100005_pressure,100100005_flow,100100008_pressure,100100008_flow,100100014_pressure,100100014_flow,11142_pressure,11142_flow,12166_pressure,12166_flow,10012167_flow
2022-08-26 01:00:00,1651.0416,2722.3655,894.5448,0.0,1629.887,17552.0,1662.22,12476.182,738.72,2298.1094,740.2342,0.0,687.29544,2326.125,1495.8749,0.0,1399.1067,1340.2778,9811.642,1481.9282,0.0,1.6203703,1214.0625,1461.3436,2049.9834,910.966,0.0,745.44007,4324.0176,0.0
2022-08-26 02:00:00,1651.0416,2671.6638,739.3807,0.0,1640.9539,16486.0,1662.22,12476.182,742.08,2433.7876,743.7381,0.0,687.29544,2326.125,1413.6875,0.0,1404.4416,1340.2778,9519.175,1481.9282,0.0,1.6203703,789.0781,1479.7902,2062.5503,738.885,0.0,747.9725,3396.1772,0.0
2022-08-26 03:00:00,1651.0416,2707.998,580.32837,68.319565,1647.03,16458.0,1662.22,12476.182,742.72,2570.5273,743.05993,0.0,687.29544,2326.125,1406.625,0.0,1407.6967,1343.75,9473.078,1481.9282,0.0,1.8518519,575.21875,1486.572,1880.7305,584.16396,0.0,746.1063,3799.9082,0.0
2022-08-26 04:00:00,1651.0416,2661.8127,815.8777,13220.683,1633.359,16424.0,1662.22,12476.182,732.8,3369.4849,734.69573,0.0,687.29544,2326.125,1397.3124,0.0,1388.9792,1328.125,10077.929,1481.9282,0.0,1.6782407,766.2656,1473.2797,2287.315,789.446,0.0,742.3863,4336.337,0.0
2022-08-26 05:00:00,1651.0416,2671.2449,879.6252,10996.824,1583.666,16420.0,1662.22,12476.182,711.2,7491.4697,721.3582,0.0,687.29544,2326.125,1313.6251,0.0,1316.1892,1255.2084,10740.192,1481.9282,0.0,1.6782407,880.21875,1415.7699,442.4552,874.07595,0.0,738.39754,7882.8955,0.0
2022-08-26 06:00:00,1644.0972,4503.238,857.38135,20088.973,1676.759,31499.0,1662.22,12476.182,673.11996,10228.715,688.57944,626.60034,687.29544,2326.125,1181.1249,0.0,1191.3158,1131.9444,11548.363,1206.9288,0.0,1.8518519,711.0625,1359.6166,1535.1245,843.26196,0.0,736.73874,12614.85,0.0
2022-08-26 07:00:00,1644.0972,4360.0864,284.9197,20974.135,1697.591,34189.0,1662.22,12476.182,693.6,8595.814,705.8731,0.0,687.29544,2326.125,1066.1874,749.699,1076.9315,1008.6806,11662.11,1078.609,0.0,1.7361112,913.5469,1282.8466,1732.8359,878.416,0.0,735.49753,10355.762,0.0
2022-08-26 08:00:00,1631.9444,33682.16,806.2025,8588.478,1578.892,32504.0,1662.22,12476.182,695.36,8413.461,708.0206,0.0,718.25665,1269.6406,1099.8125,0.0,1131.004,1031.25,11952.666,1119.8198,0.0,1.6203703,1007.4375,1243.7834,1869.5073,795.739,0.0,741.25755,10613.369,0.0
2022-08-26 09:00:00,1635.4167,31486.812,572.55206,11650.499,1643.124,29969.0,1662.22,12476.182,689.75997,8745.75,704.6297,0.0,715.79707,1927.2031,1218.1873,0.0,1238.3355,1161.4584,11307.207,1236.6163,0.0,1.6782407,1432.8125,1340.085,3551.3623,575.26696,0.0,741.63,10688.164,0.0
2022-08-26 10:00:00,1638.8888,32310.975,604.19977,11326.073,1560.8809,29433.0,1662.22,12476.182,664.8,10275.551,685.5276,853.9501,702.41433,1837.375,1156.3125,0.0,1183.9012,1107.6388,11785.625,1183.5892,0.0,1.5046297,1449.9688,1246.2248,3816.4268,695.05095,10539.5,737.2813,13829.791,0.0
2022-08-26 11:00:00,1642.3612,33668.07,571.46704,15363.317,1507.0649,29683.0,1662.22,12476.182,636.32,11673.75,661.11314,1643.5208,685.5593,2286.5625,1072.1874,0.0,1103.8773,1024.3056,12171.216,1103.2182,1.8821411,1.7939815,2056.0625,1177.3217,1760.7239,679.861,11439.75,730.81,15584.27,0.0
2022-08-26 12:00:00,1644.0972,34675.0,593.1683,11578.589,1469.307,28266.0,1662.22,12476.182,684.64,8063.092,699.3173,360.94177,711.4567,1466.5312,1051.4376,0.0,1069.788,980.9028,12289.255,1063.9606,0.0,1.6203703,1322.5625,1142.3275,2633.4438,703.514,10125.25,736.7475,11869.994,0.0
2022-08-26 13:00:00,1649.3056,33280.188,597.50854,11773.595,1410.4999,25311.0,1662.22,12476.182,710.24,6375.5664,718.98454,0.0,726.93735,1246.4062,1093.4999,0.0,1105.505,1017.361,11784.618,1098.5307,0.0,1.7361112,1116.25,1155.3485,1935.8381,697.221,10117.0,740.99255,8848.273,0.0
2022-08-26 14:00:00,1651.0416,31970.262,687.93054,9150.436,1427.2089,23634.0,1662.22,12476.182,719.19996,5714.6787,725.8794,0.0,733.0138,1149.375,1149.0626,0.0,1161.6573,1076.3888,11392.017,1154.1946,0.0,1.4467592,1236.25,1210.4169,1859.7295,717.83596,8527.75,740.4213,7078.1836,0.0
2022-08-26 15:00:00,1652.7777,31364.154,1.3192636,431.578,1566.0889,27530.0,1662.22,12476.182,706.88,7010.289,717.5152,0.0,725.27355,1242.1094,1202.25,0.0,1214.0118,1130.2083,11604.653,1208.1984,0.0,1.6782407,752.2031,1284.2029,415.33563,780.76595,7900.125,738.4475,9359.041,0.0
2022-08-26 16:00:00,1656.25,29868.94,1.3192636,431.578,1512.924,24367.0,1662.22,12476.182,693.12,8743.693,706.0991,0.0,717.6056,1429.2812,1240.1252,0.0,1252.4414,1152.7778,11280.508,1250.874,1.8560181,1.6203703,1430.0938,1302.9207,495.64874,764.274,9359.0,739.73876,10540.246,0.0
2022-08-26 17:00:00,1656.25,30595.46,1.3093172,431.578,1477.119,23944.0,1662.22,12476.182,639.52,11945.727,663.5998,1574.9685,693.0102,1871.3125,1180.0625,0.0,1206.9589,1133.6806,11520.666,1208.6867,0.0,1.7361112,870.1719,1253.2779,2645.8745,755.377,12017.75,734.41374,15138.869,0.0
2022-08-26 18:00:00,1652.7777,33621.19,1.2104855,431.578,1382.507,23838.0,1662.22,12476.182,643.83996,11135.877,664.16496,1534.8,689.61024,2073.4062,1057.9374,0.0,1083.8035,1006.9444,11830.906,1085.1519,0.0,1.7939815,931.0156,1136.9021,409.00214,737.8,12795.75,736.04876,16034.281,0.0
